"LIST_TYPE","LIST_CODE","JGP_CODE","ALGORITHM_CODE","HOSPITAL_LIMIT","AGE_LIMIT","COND1_ICD9_LIST_CODE","COND1_ICD9_COUNT","COND2_ICD9_LIST_CODE","COND2_ICD9_COUNT","COND_MAIN_ICD10_LIST_CODE","COND1_ICD10_LIST_CODE","COND2_ICD10_LIST_CODE","LIMIT_SEX","LIMIT_ACCEPT","LIMIT_EXTRACT","NEGATIVE_ICD9_LIST_CODE","NEGATIVE_ICD10_LIST_CODE"
"ICD9","H07","H07","s",,,"H3",1,,,,"H8x",,,,,,
"ICD9","H08","H08","g",,,"H3",1,,,"H07",,,,,,,
"ICD9","H08","H08","s",,,"H3",1,,,,"H8x",,,,,,
"ICD9","H10","H09","g",,,"H4",1,,,"H07",,,,,,,
"ICD9","H10","H09","s",,,"H4",1,,,,"H8x",,,,,,
"ICD9","H10","H10","g",,,"H5",1,,,"H10",,,,,,,
"ICD9","H11","H11","e",,,,,,,"H11",,,,,,,
"ICD9","H21","H21","j",,,"H6",1,"H23",1,"H8",,,,,,,
"ICD9","H21","H21","t",,,"H6",1,"H23",1,,"H8r",,,,,,
"ICD9","H22","H22","g",,,"H23",1,,,"H8",,,,,,,
"ICD9","H22","H22","s",,,"H23",1,,,,"H8r",,,,,,
"ICD9","H23","H23","e",,,,,,,"H8",,,,,,,
"ICD9","H23","H23","v",,,,,,,,"H8r",,,,,,
"ICD9","H31","H31","g",,,"H6",1,,,"H8",,,,,,,
"ICD9","H31","H31","s",,,"H6",1,,,,"H8r",,,,,,
"ICD9","H32","H32","e",,,,,,,"H8",,,,,,,
"ICD9","H32","H32","v",,,,,,,,"H8r",,,,,,
"ICD9","H33","H33","e",,,,,,,"H8",,,,,,,
"ICD9","H33","H33","v",,,,,,,,"H8r",,,,,,
"ICD9","H41","H41","e",,,,,,,"H8",,,,,,,
"ICD9","H41","H41","v",,,,,,,,"H8r",,,,,,
"ICD9","H42","H42","e",,,,,,,"H8",,,,,,,
"ICD9","H42","H42","v",,,,,,,,"H8r",,,,,,
"ICD9","H43","H43","e",,,,,,,"H8",,,,,,,
"ICD9","H43","H43","v",,,,,,,,"H8r",,,,,,
"ICD9","H51","H51","j",,,"H8t",1,"H8u",1,"H51",,,,,,,
"ICD9","H52","H52","g",,,"H7",1,,,"H52",,,,,,,
"ICD9","H53","H53","e",,,,,,,"H53",,,,,,,
"ICD9","H55B","H55","e",,,,,,,"H8",,,,,,,
"ICD9","H55A","H55","g",,,"H23",1,,,"H8",,,,,,,
"ICD9","H55A","H55","s",,,"H23",1,,,,"H8r",,,,,,
"ICD9","H55B","H55","v",,,,,,,,"H8r",,,,,,
"ICD10","H56","H56","a",,,,,,,,,,,,,,
"ICD9","H60","H60","n",,,,,,,"H60","Hpw",,,,,,
"ICD9","H60","H61","e",,,,,,,"H60",,,,,,,
"ICD9","H62","H62","e",,,,,,,"H8",,,,,,,
"ICD9","H62","H62","v",,,,,,,,"H8r",,,,,,
"ICD9","H63","H63","e",,,,,,,"H8",,,,,,,
"ICD9","H63","H63","v",,,,,,,,"H8r",,,,,,
"ICD9","H64","H64","e",,,,,,,"H8",,,,,,,
"ICD9","H64","H64","v",,,,,,,,"H8r",,,,,,
"ICD9","H66","H66","e",6,,,,,,"H66",,,,,,,
"ICD9","H67","H67","e",,,,,,,"H67",,,,,,,
"ICD9","H72","H72","e",,,,,,,"H8",,,,,,,
"ICD9","H72","H72","v",,,,,,,,"H8r",,,,,,
"ICD9","H74","H74","e",,,,,,,"H8",,,,,,,
"ICD9","H74","H74","v",,,,,,,,"H8r",,,,,,
"ICD9","H81","H81","e",6,,,,,,"H81",,,,,,,
"ICD9","H82","H82","e",,,,,,,"H81",,,,,,,
"ICD9","H83","H83","e",,,,,,,"H8",,,,,,,
"ICD9","H83","H83","v",,,,,,,,"H8r",,,,,,
"ICD9","H84","H84","q",1,,,,,,"H8",,,,,,,
"ICD9","H84","H84","q",1,,,,,,"H67",,,,,,,
"ICD9","H84","H84","v",1,,,,,,,"H8r",,,,,,
"ICD10","H85","H85","y",,2,,,,,,,,,,,,
"ICD10","H86","H86","a",,,,,,,,,,,,,,
"ICD10","LOg","H86","r",,,,,,,,"H86r",,,,,,
"ICD10","H87","H87","a",,,,,,,,,,,,,,
"ICD10","LOg","H87","r",,,,,,,,"H87r",,,,,,
"ICD10","H88","H88","a",,,,,,,,,,,,,,
"ICD10","LOg","H88","r",,,,,,,,"H88r",,,,,,
"ICD10","H89","H89","a",,,,,,,,,,,,,,
"ICD10","LOg","H89","r",,,,,,,,"H89r",,,,,,
"ICD9","H90","H90","c",,,"H8w",1,,,"H90","H8s",,,,,,
"ICD9","H90","H90","s",,,"H8w",1,,,,"H8v",,,,,,
"ICD9","H92","H92","g",,1,"H9",1,,,"H92",,,,,,,
"ICD10","H96","H96","a",,,,,,,,,,,,,,
"ICD10","H98","H98","a",,,,,,,,,,,,,,
"ICD9","J02","J01","g",,,"J04",1,,,"J08",,,,,,,
"ICD9","J02","J02","e",,,,,,,"J08",,,,,,"J04",
"ICD9","J03","J03","e",,,,,,,"J03",,,,,,,
"ICD9","J04","J04","e",,,,,,,"J03",,,,,,"J02",
"ICD9","J05","J05","e",,,,,,,"J03",,,,,,,
"ICD9","J06","J06","e",,,,,,,"J03",,,,,,,
"ICD10","J07","J07","a",,,,,,,,,,,,,,
"ICD10","J08","J08","a",,,,,,,,,,,,,,
"ICD9","J09","J09","a",,,,,,,,,,,,,,
"ICD9","J10","J10","b",1,,,,,,,,,,,,,
"ICD9","J11","J11","k",6,,,,,,"J1","J2",,,,,,
"ICD9","J11","J11","k",6,,,,,,"J2","J1",,,,,,
"ICD9","J11","J11","q",6,,,,,,"J3",,,,,,,
"ICD9","J11","J11","q",6,,,,,,"J4",,,,,,,
"ICD9","J11","J11","q",,,,,,,"J3",,,,,9,,
"ICD9","J11","J11","q",,,,,,,"J4",,,,,9,,
"ICD9","J13","J12","k",7,,,,,,"J1","J2",,,,3,,
"ICD9","J13","J12","k",7,,,,,,"J2","J1",,,,3,,
"ICD9","J13","J12","q",7,,,,,,"J3",,,,,3,,
"ICD9","J13","J12","q",7,,,,,,"J4",,,,,3,,
"ICD9","J13","J13","k",6,,,,,,"J1","J2",,,,,,
"ICD9","J13","J13","k",6,,,,,,"J2","J1",,,,,,
"ICD9","J13","J13","q",6,,,,,,"J3",,,,,,,
"ICD9","J13","J13","q",6,,,,,,"J4",,,,,,,
"ICD9","J13","J13","q",,,,,,,"J3",,,,,9,,
"ICD9","J13","J13","q",,,,,,,"J4",,,,,9,,
"ICD9","J11","J14","c",,,"J11",1,,,"J1","Jpw",,,,,,
"ICD9","J11","J14","c",,,"J11",1,,,"J4","Jpw",,,,,,
"ICD9","J11","J15","g",,,"J11",1,,,"J1",,,,,,,
"ICD9","J11","J15","g",,,"J11",1,,,"J4",,,,,,,
"ICD9","J11","J16","n",,,,,,,"J1","Jpw",,,,,,
"ICD9","J11","J17","e",,,,,,,"J1",,,,,,,
"ICD9","J19","J18","n",,,,,,,"J1","Jpw",,,,,,
"ICD9","J19","J18","n",,,,,,,"J5","Jpw",,,,,,
"ICD9","J19","J19","q",,,,,,,"J1",,,,,,,
"ICD9","J19","J19","q",,,,,,,"J5",,,,,,,
"ICD10","J21","J20","u",,,,,,,,"Jpw",,,,,,
"ICD10","J21","J21","a",,,,,,,,,,,,,,
"ICD9","J32","J32","f",,,"J6",1,,,,,,,,,,
"ICD9","J33","J33","a",,,,,,,,,,,,,,
"ICD9","J33A","J33","e",,,,,,,"J33",,,,,,,
"ICD9","J34","J34","e",,,,,,,"J34",,,,,,,
"ICD10","J37","J37","a",,,,,,,,,,,,,,
"ICD10","J38","J38","a",,,,,,,,,,,,,,
"ICD10","LOg","J38","r",,,,,,,,"J38r",,,,,,
"ICD10","J39","J39","a",,,,,,,,,,,,,,
"ICD10","LOg","J39","r",,,,,,,,"J39r",,,,,,
"ICD10","J40","J40","e",,,"J40",1,,,,,,,,,,
"ICD10","J46","J46","a",,,,,,,,,,,,,,
"ICD10","J47","J47","a",,,,,,,,,,,,,,
"ICD10","J49","J49","a",,,,,,,,,,,,,,
"ICD10","LOg","J49","r",,,,,,,,"J49r",,,,,,
"ICD9","K01","K01","g",,,"K1",1,,,"K01",,,,,,,
"ICD9","K02","K02","g",,,"K2",1,,,"K9",,,,,,,
"ICD9","K02","K02","j",,,"K2",1,"K6",1,"K02",,,,,,,
